Song Name,Popularity,Duration (min)
Starboy (feat. Daft Punk),62,3.8410166666666665
Party Monster,60,4.15345
False Alarm,57,3.6718
Reminder,59,3.6479833333333334
Rockin’,55,3.88135
Secrets,55,4.426783333333334
True Colors,54,3.4339
Stargirl Interlude (feat. Lana Del Rey),58,1.8601833333333333
Sidewalks (feat. Kendrick Lamar),55,3.85595
Six Feet Under,54,3.9596
Love To Lay,53,3.7216833333333335
A Lonely Night,53,3.6695
Attention,52,3.29415
Ordinary Life,52,3.69855
Nothing Without You,51,3.3109
All I Know (feat. Future),52,5.350516666666667
Die For You,54,4.337583333333333
I Feel It Coming (feat. Daft Punk),55,4.486266666666666
Die For You (with Ariana Grande) - Remix,84,3.88095
Starboy (feat. Daft Punk) - Kygo Remix,55,4.078666666666667
Reminder (feat. A$AP Rocky & Young Thug) - Remix,57,3.6994666666666665
Intro - Live,50,1.5968833333333334
Alone Again - Live,53,2.78755
Gasoline - Live,53,3.2605833333333334
Sacrifice - Live,54,4.387333333333333
How Do I Make You Love Me? - Live,53,3.484
Can't Feel My Face - Live,52,3.0648
Take My Breath - Live,53,3.9327666666666667
Hurricane - Live,54,2.12545
The Hills - Live,55,3.08935
Often - Live,55,2.4813
Crew Love - Live,53,1.891
Starboy - Live,54,4.096966666666667
Heartless - Live,53,2.0709166666666667
Low Life - Live,53,1.7876
Or Nah - Live,52,1.6908333333333334
Kiss Land - Live,51,1.8385833333333332
Party Monster - Live,53,3.1647166666666666
Faith - Live,52,3.0836
After Hours - Live,56,4.4652
Out of Time - Live,53,3.3489
I Feel It Coming - Live,51,3.9019
Die For You - Live,52,3.2232333333333334
Is There Someone Else? - Live,54,3.9650666666666665
I Was Never There - Live,53,2.285816666666667
Wicked Games - Live,51,2.3847
Call Out My Name - Live,59,4.048316666666667
The Morning - Live,50,3.330033333333333
Save Your Tears - Live,51,2.9697833333333334
Less Than Zero - Live,52,4.07465
Blinding Lights - Live,52,4.22275
Outro - Live,46,3.3296833333333336
Nothing Is Lost (You Give Me Strength),68,4.4584
Into the Water,48,3.6675333333333335
Happiness Is Simple,49,2.3688
A New Star,41,2.9432833333333335
Converging Paths,42,1.7571
Rescue and Loss,39,6.666216666666666
Family Is Our Fortress,39,3.1120833333333335
Leaving Home,43,3.4586166666666665
The Way of Water,49,2.5008333333333335
Payakan,41,3.5034833333333335
Mighty Eywa,39,4.215633333333333
Friends,40,1.78575
Cove of the Ancestors,40,2.7680166666666666
The Tulkun Return,42,2.8549
The Hunt,36,5.794016666666667
Na'vi Attack,38,4.7312
Eclipse,37,3.2124333333333333
Bad Parents,36,3.3903166666666666
Knife Fight,35,2.7946
From Darkness to Light,42,4.2341
The Spirit Tree,42,2.9662166666666665
The Songcord,58,3.33075
Dawn FM,46,1.604
